out,sentences
0,Utilize logic controllers to monitor and control groundwater treatment processes
0,Operate heavy equipment for water treatment purposes
0,"Build, maintain, and repair water treatment systems"
0,Apply mechanical knowledge to troubleshoot and resolve equipment issues
0,Use basic math skills to analyze data related to groundwater treatment processes
0,Collect data on water quality and treatment efficiency
0,Work with distributed control systems to manage groundwater treatment operations
0,*Skills*
0,Proficiency in groundwater treatment processes
0,Experience with logic controllers for monitoring and controlling systems
0,Ability to operate heavy equipment effectively
0,Strong mechanical knowledge for maintenance and repair tasks
1,Basic math skills for data analysis
0,Capability to analyze and maintain groundwater treatment systems
0,Familiarity with data collection methods in groundwater treatment operations
0,"Job Types: Full-time, Temporary"
0,Pay: $73.00 per hour
0,Expected hours: 40 per week
0,Schedule:
0,8 hour shift
0,Day shift
0,Monday to Friday
0,Weekends as needed
0,Required Experience:
0,Plant Operator: 5 years (Required)
0,Wastewater treatment: 2 years (Preferred)
0,Groundwater: 5 years (Required)
0,Groundwater monitoring: 5 years (Required)
0,Groundwater remediation: 5 years (Required)
0,Class C License (Required)
0,Class C License with Class B: Preferred
0,Ability to Commute:
0,"Houston, TX (Required)"
0,Ability to Relocate:
0,"Houston, TX: Relocate before starting work (Required)"
0,Work Location:
0,In person
0,Company Description
0,"D2 Integrity, LLC was founded in 2022 to create value for our clients by providing efficient and world class engineering, software, and consulting services."
1,"We specialize in pipeline integrity management, ILI technology, regulatory compliance, and software enabled engineering services."
0,We strive to provide our clients an enjoyable professional environment.
0,Our differentiator is our staff and collaborative culture.
0,"We are headquartered in Houston, TX."
0,Role Description
0,"D2 Integrity, LLC is looking to grow our team with an In-line inspection (ILI) Specialist."
0,This is a full-time position that is primarily remote work with scheduled in person meetings.
1,The ILI Specialist will be responsible for working Integrity Engineers to perform analysis and assessments using ILI data.
1,"Principal tasks include performing calculations, data analysis, generating reports, and supporting client directly."
0,Responsibilities
1,Interpret ILI reports and signal data for various ILI technologies.
1,Perform calculations and data integration using ILI data for integrity assessments related various integrity threats including but not limited to:
1,Dent Strain and ECA using geometry ILI data
1,Bending strain and strain change assessments using IMU ILI data
1,Box matching and CGR analysis using MFL and UT ILI data.
1,Various other ILI related tasks associated with signal analysis.
1,"Support Integrity Engineer implement various evaluations using API 1163, API 1176, and API 1183."
0,Produce reports to document results of analysis.
1,Maintain an understanding of various ILI technologies work and their application in integrity assessments.
1,Demonstrate working knowledge of regulatory requirements related to ILI.
0,"Display strong organizational and communication skills related to status of projects, analysis performed, and results of assessments."
0,Delivery work and reports on-time.
0,Develop and maintain competency in various service offerings.
0,Identify learning opportunities for self-improvement.
0,Identify process improvement opportunities.
0,Adhere to the company handbook.
0,Qualifications
1,"Current level 2/3 ILI Data Analyst certification is preferred (MFL, GEO, IMU, UT, EMAT)."
1,"BS in Science, Technology, Engineering, or Mathematics is preferred, or equivalent experience."
1,Minimum of 5 years of related experience in inspection analysis or pipeline integrity management.
1,"Experience with ILI data analysis and interpretation, including MFL, UT, and other NDE technologies."
1,Strong data analysis and communication skills.
1,Knowledge of GIS software and spatial data analysis is a plus.
0,Considerations:
0,Sponsorship not available.
0,Canadian and Mexican applicants eligible as contractors.
0,Compensation & Benefits
0,Full-Time Position
0,Work Remote
0,Competitive Salary
0,Quarterly Bonus
0,Annual Bonus
0,"Medical, Dental and Vision Insurance (US only)"
0,401K (US only)
0,"The Director of Institutional Research & Decision Support plays a crucial role at our college, leading efforts to strategically utilize data for informed decision-making."
0,"This senior position involves guiding the quality and interpretation of data, and synthesizing it to enhance processes and inform planning."
0,"In collaboration with senior leadership, the Director ensures that equitable student outcomes remain a primary focus through comprehensive research and planning."
0,Empathetic Communication: able to communicate complex technical concepts to non-technical stakeholders with grace fostering a collaborative and inclusive team environment.
0,Enjoys puzzles and solving problems: solving problems and extracting actionable insights from data to provide answers or solutions.
0,"Strategic Thinker: able to think strategically about how data can be leveraged to drive innovation, gain competitive advantage, and create value for the college."
0,REQUIRED QUALIFICATIONS:
0,"• Three (3) years of administrative experience with data science, institutional research, compliance reporting"
0,• Three (3) years of supervisory experience.
1,• Experience with visualization tools such as Power BI and R/Python.
0,• Two (2) years of supervisory experience
0,• Familiarity with research on college student persistence and success.
0,• Project management certification (PMP).
1,Chalice Custom Algorithms (chalice.ai) is the leading AI application for brands applying their own data and analytics in the real-time decisioning of ad buys.
1,"Chalice’s software automates data ingestion, predictive analytics, and deployment of custom bidding instructions in a supervised-learning environment, where advertisers can visualize and test their custom algorithms."
0,"Advertisers’ algorithms can be deployed in all major DSPs, as well as Meta and YouTube."
1,"Chalice was named “Best Demand Side Tech” by AdExchanger, and powered AdWeek’s “Best Use of Programmatic” in the 2023 Media Plan of the Year awards."
0,Key Responsibilities:
0,"As a Lead Associate Director at Chalice, you will:"
0,Act as a Leader: lead customer success initiatives with impact across the company.
0,Establish scalable processes to build a high-performing customer success team.
1,"Consult on Product Development: Collaborate across Solutions Architecture, Data Science and Engineering to develop products and features that best support customer adoption and growth."
1,"Lead Technical Problem Solving: Collaborate with engineers, data scientists, and product managers to address complex technical issues."
1,Consult with customers on troubleshooting APIs.
0,Qualifications:
1,"7+ Years Experience: Demonstrated experience in within ad tech, either in customer success, ad ops, client services or trading."
1,Experience with data science centric and applied AI technologies is a plus.
1,"Technical Proficiency: Familiarity with programmatic and ideally, social, advertising platforms and AI technologies is a plus, allowing for efficient troubleshooting and guidance."
1,"Joining Chalice means being at the forefront of AI for advertising, working in a stimulating and dynamic environment that encourages creativity, growth, and innovation."
0,"We value diversity, collaboration, and dedication to making a meaningful impact in the advertising landscape."
0,Chalice is a profitable early-stage company with funding from industry insiders including Trade Desk’s TD7 Ventures and Aperiam Ventures.
0,Chalice’s philosophy:
1,AI is too important for brands to outsource
1,AI should be transparent and auditable
0,We strive for excellence while fostering learning and creating a supportive work environment.
0,"We are a team of non-conformist, independent thinkers"
0,"We are committed to and driven by diversity of thought, background, and experience, and creating the psychological safety for all to thrive"
0,"To learn more about Chalice, visit our website."
0,www.chalice.ai
0,Location:
0,"Chalice is based in NYC, with a hybrid office/remote work site."
0,"This role is based in NY, with the expectation of 1-2 days a week in office."
0,Compensation:
0,"This role offers a competitive base salary with a range of $120,000 – $150,0000, depending on experience."
0,Compensation includes equity in a fast growing early stage company.
0,Benefits include:
0,Medical
0,Dental/vision
0,401k options
0,Unlimited PTO
0,11 Company Holidays
0,Office wide closure between Christmas Eve and New Years
1,"If you're ready to be part of a team that's shaping the future of advertising through custom AI solutions, reach out, and let's create something amazing together!"
0,Chalice participates in E-Verify.
0,"Chalice will provide the Social Security Administration (SSA) and, if necessary, the Department of Homeland Security (DHS), with information from each new employee’s Form I-9 to confirm work authorization."
0,"For more information, visit https://www.uscis.gov/e-verify."
0,Codédex is looking for a Senior Curriculum Developer (Contractor) to spearhead the curriculum production.
0,This is a full-time contract position for 3 months with an opportunity to transition into a full-time salary + equity position and join the founding team.
0,"You can expect ~40 hours of work per week with daily standup meetings, bi-weekly curriculum meetings, and twice a month 1:1s."
0,👾 What is Codédex?
0,Codédex is a brand new learn to code platform for Gen Z.
0,Our mission is to empower the next generation of technologists with the absolute best learning experience!
0,"The pillars that make up Codédex: gamification, world-class content, and community."
0,https://www.codedex.io
0,"We are based in Brooklyn, NY."
0,We work from our office in Dumbo two days a week (Tue & Thu) and WFH the other three (MonWedFri).
0,"We are remote-friendly (CST or EST), but prefer a NYC-based candidate."
0,👤 Responsibilities
0,Architect byte-sized interactive coding exercises
0,Review project tutorials written by the community
0,"Apply pedagogy best practices and break down dry technical concepts into fun, digestible components"
0,Collaborate closely with the Engineering team to innovate and push the boundaries of learning to code online
0,Co-lead the Curriculum bi-weekly meetings and move the ball forward
0,Address bug reports and curriculum feedback from the community
0,Lead workshops and office hours 1-2 times a quarter
0,Report to Founder & CEO
0,🧳 Qualifications
1,"3+ years of working experience in curriculum writing, technical writing, or similar, preferably in EdTech"
1,"Strong foundation in web dev, data science, and/or AI (HTML/CSS, JS, React, Command Line, Python, etc.)"
1,Proficiency in Markdown and GitHub
0,A strong command of written and spoken English
0,Experience writing educational content that reaches a broad audience of different age groups
0,Experience in communicating with remote/hybrid teams
0,"Scrappy, resourceful, and enjoy working in a fast-paced (sometimes chaotic!) startup environment"
0,Self-motivated and a BIG team player
0,🔥 Bonus Points
0,Professional experience teaching in the classroom and/or online
1,Deep knowledge of the popular EdTech platforms
0,Sweat the details and has an eye for design
0,Want to grow with the company for years to come
0,Get in on the ground floor early and receive a once-in-a-lifetime experience building a startup
0,"Work and grow alongside stellar, ultra-passionate teammates in NYC office (lunches provided)"
0,Attend quarterly offsites in NYC (or elsewhere)
0,Opportunity to transition into a full-time member of the founding team after 3 months
0,"The hourly pay range for this position is $35-$45, depending on experience"
0,⌚️ Hiring Process
0,20 min: Screening call with the hiring manager.
0,Submit past work/portfolio examples or submit a short and compensated take-home assignment.
0,30 min: Team call with 2 team members.
0,30 min: Final interview with hiring manager (prefer onsite).
0,The team huddles internally and follows up on the decision!
0,"If this seems like a fit for you, apply and connect with us!"
0,Office Tour: https://www.instagram.com/p/C_0s3YBOP8s
0,Team: https://www.codedex.io/about
0,"If you're enthusiastic about working in a service-oriented role and are eager to contribute to our mission, we encourage you to apply today!"
0,Requirements:
0,Bachelor’s degree
0,"5+ years of experience in retail operations, preferably in a credit union or banking environment."
0,Who you are
0,"At least 5-10 years of relevant experience, ideally in a consulting environment or as part of an in-house, cross-functional product team."
1,"Strong versatility and experience with products across multiple digital platforms including iOS, Android, Web, TV, Auto, Voice, Wearables, IoT and other smart devices."
1,Excellent communication skills and a strong ability to present and defend strategic choices persuasively.
0,Bonus points if you...
0,"This role reports to the Vice President, Operations."
0,FLSA STATUS: EXEMPT
0,"Salary Range: $107,000 - $130,000"
0,ESSENTIAL DUTIES AND RESPONSIBILITIES:
1,"o Develop, maintain, and optimize PowerBI dashboards, analytic reports, and data visualizations by documenting user requirements for all departments."
1,"Perform data mining in the data lake using SQL and other tools to extract valuable insights by serving as the subject matter expert for the company's data lake, understanding where and how data is stored."
0,MINIMUM QUALIFICATIONS
0,"EDUCATION, TRAINING, AND EXPERIENCE"
1,"o Bachelor’s degree in industrial engineering, business analytics, statistics, business intelligence, or related field or experience."
1,"o 5 years’ experience performing Operations business analysis/intelligence, such as quantitative and qualitative analysis, predictive analytics, business case development, operations analysis, etc."
1,o Lean Six Sigma Black Belt Certification
0,Special Requirements
0,o Must be able to pass a criminal background check and obtain and maintain federally mandated security clearances required to work at an airport.
0,o Valid Driver’s License required
0,o Valid Passport with ability to obtain travel Visa / Travel Authorization as required
0,"KNOWLEDGE, SKILLS, ABILITIES."
0,AND OTHER WORK REQUIREMENTS
0,KNOWLEDGE
1,"o Core competencies in statistics, visualization, and data mining and modeling."
1,"o Experience and understanding of a wide variety of analytical processes, tools, and approaches."
1,o High level understanding of data gathering and transformation tools
0,SKILLS
1,o Expert Level PowerBI or Tableau (Inclusive of Dax Programming)
1,o Intermediate Level of SQL Developer (Oracle)
1,o Predictive Modeling/Forecasting (Time Series Analysis & Other Regression Initiatives)
1,"o Expert Level of Microsoft Excel (VBA, PowerQuery, and Access Add ins)"
0,"o Active listening: Give full attention to what other people are saying, take time to understand the points being made, ask questions as appropriate, and not interrupt at inappropriate times."
0,o Time management: Manage one’s own time or the time of others.
0,o Coordination with others: Adjust actions in relation to others' actions.
0,o Judgement and decision making: Consider the relative costs and benefits of potential actions to choose the most appropriate one.
0,ABILITIES
0,o Experience structuring and delivering presentations and communications targeted to company leadership and stakeholders.
0,"o Ability to work independently and efficiently, often without direct supervision."
0,o Ability to quickly learn potentially unfamiliar topics.
0,o Excellent verbal and communication skills.
0,o Aviation industry experience preferred.
0,o Comprehend oral information: Listen to and understand information and ideas presented through spoken words and sentences.
0,o Speak: Communicate information and ideas in speaking so others will understand.
1,"· Management of small but growing team of front-end, back-end, DevOps, and data science employees/consultants"
1,"· Bachelors degree in Computer Science, Data Science, or related subject"
1,· Java/Java Script development and best practices
1,"· Advanced degree in data science, computer science, and/or management"
1,"· Expertise in Python, R, and IoT systems"
1,"Experience with programming and data analysis languages (e.g., Python, R, Matlab, and Fortran)."
1,"Bachelor's or Masters degree or additional certifications in Computer Science, Data Science, or a related field."
1,"· Master’s Degree in a relevant discipline such as health administration, public health, data science or business, or bachelor’s degree with relevant experience."
1,The Department of Electrical and Computer Engineering seeks to hire a faculty member with expertise in Trustworthy AI and machine learning.
1,"Key areas of interest include, but are not limited to robustness, security, privacy, interpretability, fairness and safety in machine learning and AI from systems and/or theoretical perspectives."
1,"Desired experience includes X-Midas, Python, GNU-Radio, Julia, or MATLAB development skills."
1,"Familiarity with DSP Techniques (such as Cyclo-Stationary processing, Cumulants, CAFs, Polyphase Filterbanks, etc), Radar Processing, Wireless Communications, Artificial Intelligence & Machine Learning, and/or Satellite Engineering."
1,"C/C++, Python, Julia in a Linux development environment."
1,"Basic understanding of Fortran, Java, Perl, JavaScript, XML, JSON, and other languages will aid in development"
1,"Familiarity with Cython, SWIG, and other Pythonic/C wrappers with cross-compiler support is desired."
1,"Nice to Have, Machine Learning / Artificial Intelligence Experience"
1,"Familiarity with Python libraries such as scikit-learn, scikit-image, numpy, scipy, mayavi, matplotlib, pandas, keras, tensorflow, caffe, nltk, statsmodels, pybrain"
1,"Integrated Data Sciences – We’re pursuing advanced data sciences to create novel end-user inspired solutions that address complex analysis, simulation, and prediction across the translational sciences."
1,"Partner with technical analytics + data science resources to build experimentation roadmap, create actionable performance analysis, establish reporting views, and distill insights from all the above that feed back into the media strategy"
1,"Strong quantitative, programming skills in Python and SQL, and familiarity with TabPy."
1,"Analytics experience using Big Data, Python, or R."
1,"Be the subject matter expert around machine learning, statistical, and econometric time series techniques alongside hybrids of these to develop accurate, granular demand forecasts"
1,"Experience in statistical/econometric time series modeling (ARIMA, Exponential Smoothing/ETS, GLMs/GAMs, Dynamic Factor Models, etc.), machine learning (XGBoost/LightGBM, RNNs, Transformers, etc.), or hybrid time series techniques (ES-RNN, N-BEATS, TFT)."
1,"Proficiency in Python, SQL, Git"
1,"Our consultants leverage advanced analytics, machine learning, and our cloud-based, automated modeling platform to build predictive sales models and deliver business insights that change how clients plan, advertise, and grow their business."
1,"Oversee modelers who will sculpt the data for ingestion into our tools, usually in Python."
0,"Help clients understand where they are spending too much or too little, what worked or didn’t work, and why."
0,Build marketing budget optimizations and help clients maximize sales and marketing ROI.
0,We have clients that license our software for their own modeling.
0,Some days we are coaching them to be great modelers too.
1,"Graduate degree in analytics, data science, operations research, industrial engineering, statistics, economics, or other quantitative field"
0,4 years marketing mix modeling experience
1,Some Python skills.
1,We’re mainly a Python shop on the analytics consulting team.
1,"Good knowledge of regression, elastic net, or other related machine learning methods."
1,"So we might ask you to work on a variety of things (marketing mix models, price and promotion models, automated machine learning projects, coaching clients on their modeling projects)."
1,"Has deep knowledge of one or more of the following domains: Embedded CPU subsystem and architecture; High-speed digital signal processing, computer vision, or machine learning; High-performance serial interface protocols; Low-power design methodology; mixed-signal design; FPGA prototyping."
1,Strong RTL (Verilog/System Verilog/VHDL) coding skills and hands-on experience in programming languages (Perl/Tcl/Python/C).
1,"We also utilize SageMaker for machine learning, Kafka for real-time data streaming, Route 53 for DNS services, and Secrets Manager for secure access management."
1,"Proficiency in programming languages such as Python and Go is essential, alongside experience with DevOps tools like Docker and GitLab to support efficient and secure development and deployment processes."
1,"Expertise in a wide variety of programming languages such as C, C++, C#, Python, Matlab, Simulink."
1,"Experience with machine learning, computer vision, or autonomous systems."
1,"Experience with statistical software such as SQL, R, Python, and Power BI."
1,Experience in developing and implementing machine learning algorithms for predictive insights.
1,"Successful candidates will be expected to teach beginning through advanced topics in biostatistics, statistical literacy, and statistical programming in SAS, STATA, SPSS, R or Python, both to mathematically inclined students and to math-apprehensive students at the undergraduate and graduate levels."
1,"If you have a strong interest to influence next-generation development of High Performance Computing Processor for Supercomputers, Graph Analytics/AI/Machine Learning SOCs or custom ASICs to partner with Xeon processor, this is the team to join."
1,"· Proven proficiency in Python programming and familiarity with data analysis tools such as R, MATLAB, or SQL."
1,"About Syntes AI: Syntes AI is at the forefront of the AI and Machine Learning revolution, offering a cutting-edge enterprise framework that integrates data management, AI/ML, and advanced analytics into a single, powerful platform."
1,"Strong understanding of AI, machine learning, or data management is highly preferred."
1,"Knowledge of data analysis tools (e.g., Google Analytics, Power BI, Tableau, Looker, Helium 10, Jungle Scout, Data Studio, SQL, Python, Supermetrics, etc.)"
1,"5+ years experience within Data Science, Data Engineering, and Machine Learning domains and their practical applications"
1,"Hands on experience with machine learning algorithms like random forest, linear and logistic regressions, gradient boosting, classification, GANs, and anomaly detection algorithms for building, evaluating, deploying and monitoring ML models from scratch."
1,Strong proficiency in Python and SQL
1,"Extensive knowledge and working experience with Machine Learning libraries/frameworks, and data processing/visualization tools."
1,"Drive data science initiatives to harness predictive analytics, AI, and machine learning for enhanced decision-making and product development."
1,"Proficiency in data science methodologies and tools (e.g., Python, R, SQL, TensorFlow)."
1,"● Proficiency in programming languages such as Python, R, or Matlab."
1,● Strong understanding of statistical methods and machine learning algorithms.
1,"● You have machine learning experience, particularly in applying ML techniques to radar signal processing tasks."
1,"Visualize insights using Microsoft Office, Tableau, Python, R"
1,"Design, develop, and test ML applications using Python, Linux, Docker"
1,"Expertise in Python, R, SQL, statistics, data mining"
1,"Programming experience in R and Python, with a strong understanding of their ecosystems, libraries, and best practices"
1,· Designing predictive models and machine learning algorithms to mine return data sets
1,"· Strong programming skills and experience with Python, R language"
1,"· Machine learning, other data modeling skills"
1,"Design, develop, and maintain statistical / machine learning data models, metrics, and algorithms that can be used to analyze large datasets related to music consumption, project performance, and market trends to drive significant results."
1,"Utilize advanced analytics tools and platforms (e.g., SQL, Python, R, Tableau, BigQuery, AWS Bedrock, etc) for data processing and visualization at scale."
1,"Expert proficiency in SQL based data manipulation, analysis tools (e.g., Python, R), ETL processes, and data visualization platforms (e.g., Tableau, Power BI, BigQuery)."
1,"Algorithm Development:  Develop and refine trading algorithms that automate decision-making processes, leveraging machine learning and AI techniques."
1,"Machine Learning and AI: Proficiency in machine learning algorithms and experience with AI techniques, particularly in the context of predictive modeling, anomaly detection, and natural language processing (NLP)."
1,"Programming Languages: Strong coding skills in languages like Python, commonly used for data analysis, modeling, and automation."
1,"Proven experience (5-7 years) in programming languages, machine learning, data visualization and statistical analysis."
1,"This individual will work with our senior management across multiple departments under the direction of the Director of Software Strategy to analyze and prepare automated reports with clear KPI’s, while working with a Google Big Query Data Warehouse and utilizing statistical and machine learning models."
1,"Develop and implement statistical and machine learning models to provide correlation analysis, prediction behavior, and ."
1,Proficiency in programming languages such as Python or R for use in data analytics.
1,Strong understanding of statistical analysis and machine learning techniques.
1,"Provide business insights via thorough analysis, integrate diverse data, contribute to advanced quantitative methods for customer segmentation, maintain statistical models (R/Python), apply statistical/machine learning techniques for trend extraction."
1,"Assist in development, maintenance, and enhancement of statistical models in R or Python (there is a preference for open-source coding);"
1,Use statistical and machine learning (ML) techniques to extract and analyze trends from the database / data warehouse;
1,Experience in applying advanced statistical and machine learning (ML) techniques
1,"Experience with econometric modeling, regression analytics or machine learning"
1,"Experience in Python, Spark, Scala, or R for large scale data analysis"
1,"Python, Jupyter Notebook, Scala, Databricks"""
1,"We also excel in vision applications leveraging Machine Learning (ML), YOLO, OpenCV, and multimodal LLMs for industries such as pharmaceuticals, semiconductors, automation, robotics, defense technology, and core engineering sectors (mechanical, embedded, signal processing, control systems, drones, missiles)."
1,"Our diverse workforce includes skilled tradespeople; artificial intelligence, machine learning (AI/ML) experts; engineers; technologists; scientists; logistics experts; and business administration professionals."
1,"Proficiency in Python, SQL, Pandas and other relevant machine learning libraries."
1,Designing and developing machine learning and deep learning systems
1,"The project combines machine learning, large-eddy simulation, and table-top experiments."
1,"Skills to look for: Linux, Networking, Automation, Python/ Java, Data Analytics"
1,"Excellent programming skills in Python, Java, and proficiency in other programming languages."
1,Are you a System Administrator who is interested in developing your skills and deepening your experience related to Artificial Intelligence (AI)/ Machine Learning (ML) and Data Science (DS)?
1,"An interest in data science, data engineering, or machine learning"
1,"The project tech stack: Apache Spark, Hive, Java, Scala, Spring, SQL, Kafka, Hadoop."
1,"We are looking for a strong Senior Java Developer with Big Data experience (Hadoop, Spark) capable of build the design and establish the framework in order to expose and distribute the Risk data to wide variety of consumers including Finance, Front office Risk Systems, Trading Systems, Back office and Account systems."
1,"The role of the Senior Java Developer involves working with strong development teams, the opportunity to work with big data improving knowledge in this domain utilizing the resources of an international bank."
1,• Strong Knowledge of Java programming languages
1,Extensive knowledge of building machine learning models from scratch.
1,Proficiency in manipulating large scale data using Python and SQL
0,Qualifications
0,Bachelor's Degreed (Preferred)
0,2+ years of Procurement experience
0,2+ years of Contracts experience
0,Stakeholder management experience required
1,SAP Experience (Preferred)
0,Hours
1,"Using our proprietary platform combining spatial biology, pooled screening, in silico protein engineering, and machine learning, we can obtain both depth and breadth when screening cell therapy candidates – speed without compromising on in vivo accuracy."
0,"In addition, Northrop Grumman provides a variety of benefits including health insurance coverage, life and disability insurance, savings plan, Company paid holidays and paid time off (PTO) for vacation and/or personal business."
0,The application period for the job is estimated to be 20 days from the job posting date.
0,"However, this timeline may be shortened or extended depending on business needs and the availability of qualified candidates."
0,Northrop Grumman is committed to hiring and retaining a diverse workforce.
0,"We are proud to be an Equal Opportunity/Affirmative Action Employer, making decisions without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability, or any other protected class."
0,"For our complete EEO/AA and Pay Transparency statement, please visit."
0,U.S. Citizenship is required for all positions with a government clearance and certain other restricted positions.
0,About Ascendion
0,Ascendion is a full-service digital engineering solutions company.
0,We make and manage software platforms and products that power growth and deliver captivating experiences to consumers and employees.
1,"Our engineering, cloud, data, experience design, and talent solution capabilities accelerate transformation and impact for enterprise clients."
1,"Experience with Snowﬂake, Looker (LookML), BigQuery, Python, Vertex AI, and related technologies is a plus."
1,"In this role, you will lead teams designing and building data solutions that capture, explore, transform and utilize data to support Artificial Intelligence, Machine Learning and business intelligence/insights."
1,"Advanced programming skills in Python, R, and/or other relevant languages; experience with software development best practices and version control systems."
